CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,m6_Revenue,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
15643,65,1,12,0,318.6,0,1,318.6,0,FALSE,TRUE,FALSE
13662,63,1,2,0,-7.9,0,1,-7.9,0,FALSE,TRUE,FALSE
12947,63,1,17,0,329.47,0,1,329.47,0,FALSE,TRUE,FALSE
13742,65,1,30,0,513.54,0,1,656.44,0,FALSE,TRUE,FALSE
14232,63,1,15,0,309.95,0,1,308.3,0,FALSE,TRUE,FALSE
14475,65,1,13,0,310.64,0,1,310.64,0,FALSE,TRUE,FALSE
14745,65,1,24,0,341.07,0,1,341.07,0,FALSE,TRUE,FALSE
15743,65,1,18,0,322.55,0,1,460.11,0,FALSE,TRUE,FALSE
16955,65,1,10,0,163.69,0,1,163.69,0,FALSE,TRUE,FALSE
17409,65,1,8,0,511.3,0,1,511.3,0,FALSE,TRUE,FALSE
18221,65,1,15,0,302.54,0,1,474.34,0,FALSE,TRUE,FALSE
17414,65,1,5,0,598,0,1,598,0,FALSE,TRUE,FALSE
15382,65,1,31,0,539.1,0,1,539.1,0,FALSE,TRUE,FALSE
14622,65,1,21,0,320.58,0,1,320.58,0,FALSE,TRUE,FALSE
14078,65,1,13,0,243.93,0,1,243.93,0,FALSE,TRUE,FALSE
15609,63,1,18,0,270.03,0,1,270.03,0,FALSE,TRUE,FALSE
14561,65,1,16,0,222.07,0,1,222.07,0,FALSE,TRUE,FALSE
14477,65,1,2,0,358,0,1,358,0,FALSE,TRUE,FALSE
13630,65,1,9,0,320.92,0,1,314.62,0,FALSE,TRUE,FALSE
14829,65,1,8,0,146.3,0,1,312.22,0,FALSE,TRUE,FALSE
16872,65,1,3,0,388.36,0,1,388.36,0,FALSE,TRUE,FALSE
17873,65,1,8,0,396.14,0,1,396.14,0,FALSE,TRUE,FALSE
15974,65,1,29,0,481.36,0,1,829.24,0,FALSE,TRUE,FALSE
16358,63,1,23,0,459.6,0,1,919.39,0,FALSE,TRUE,FALSE
17491,65,1,5,0,135,0,1,936.68,0,FALSE,TRUE,FALSE
15809,65,1,1,0,15.9,0,1,15.9,0,FALSE,TRUE,FALSE
16832,65,1,1,0,62.5,0,1,62.5,0,FALSE,TRUE,FALSE
15238,65,1,14,0,300.14,0,1,1071.99,0,FALSE,TRUE,FALSE
13875,65,1,22,0,384.2,0,1,384.2,0,FALSE,TRUE,FALSE
13466,65,1,17,0,307.9,0,1,307.9,0,FALSE,TRUE,FALSE
13741,64,1,12,0,200.17,0,1,200.17,0,FALSE,TRUE,FALSE
13856,64,1,3,0,124.6,0,1,124.6,0,FALSE,TRUE,FALSE
13265,64,1,21,0,340.78,0,1,677.42,0,FALSE,TRUE,FALSE
15214,64,1,11,0,136.7,0,1,424.5,0,FALSE,TRUE,FALSE
15855,64,1,20,0,132.18,0,1,132.18,0,FALSE,TRUE,FALSE
13038,64,1,7,0,196.66,0,1,196.66,0,FALSE,TRUE,FALSE
14231,64,1,12,0,307.76,0,1,307.76,0,FALSE,TRUE,FALSE
15407,64,1,13,0,410.87,0,1,726.58,0,FALSE,TRUE,FALSE
16892,64,1,20,0,102.98,0,1,240.02,0,FALSE,TRUE,FALSE
13134,64,1,21,0,360.04,0,1,360.04,0,FALSE,TRUE,FALSE
16592,64,1,16,0,368.15,0,1,654,0,FALSE,TRUE,FALSE
14241,64,1,10,0,213.7,0,1,213.7,0,FALSE,TRUE,FALSE
15296,64,1,15,0,299.78,0,1,299.78,0,FALSE,TRUE,FALSE
15780,64,1,4,0,72.52,0,1,72.52,0,FALSE,TRUE,FALSE
14501,64,1,6,0,184.28,0,1,123.38,0,FALSE,TRUE,FALSE
18065,64,1,16,0,264.42,0,1,264.42,0,FALSE,TRUE,FALSE
16170,64,1,21,0,319.29,0,1,319.29,0,FALSE,TRUE,FALSE
17169,64,1,18,0,308.68,0,1,308.68,0,FALSE,TRUE,FALSE
15827,64,1,13,0,203.98,0,1,203.98,0,FALSE,TRUE,FALSE
17372,64,1,19,0,128.76,0,1,285.37,0,FALSE,TRUE,FALSE
14913,64,1,20,0,301.32,0,1,611.6,0,FALSE,TRUE,FALSE
15252,64,1,14,0,300.55,0,1,740.78,0,FALSE,TRUE,FALSE
17402,64,1,6,0,226.28,0,1,539.18,0,FALSE,TRUE,FALSE
13397,64,1,12,0,378.7,0,1,378.7,0,FALSE,TRUE,FALSE
15712,64,1,9,0,158.85,0,1,158.85,0,FALSE,TRUE,FALSE
18041,64,1,7,0,105,0,1,225,0,FALSE,TRUE,FALSE
15867,64,1,28,0,302.72,0,1,302.72,0,FALSE,TRUE,FALSE
16113,64,1,30,0,161.38,0,1,161.38,0,FALSE,TRUE,FALSE
15681,64,1,15,0,357.54,0,1,837.34,0,FALSE,TRUE,FALSE
14309,63,1,15,0,196.68,0,1,849.32,0,FALSE,TRUE,FALSE
13900,63,1,1,0,8.5,0,1,8.5,0,FALSE,TRUE,FALSE
13317,63,1,7,0,-82.9,0,1,864.3,0,FALSE,TRUE,FALSE
17483,63,1,7,0,155.1,0,1,294.4,0,FALSE,TRUE,FALSE
13462,63,1,1,0,-8.25,0,1,-8.25,0,FALSE,TRUE,FALSE
17115,63,1,14,0,302.8,0,1,302.8,0,FALSE,TRUE,FALSE
13686,63,1,8,0,72,0,1,72,0,FALSE,TRUE,FALSE
17088,63,1,22,0,383.28,0,1,622.56,0,FALSE,TRUE,FALSE
17064,63,1,20,0,313.45,0,1,711.5,0,FALSE,TRUE,FALSE
12840,63,1,16,0,572.8,0,1,572.8,0,FALSE,TRUE,FALSE
17819,63,1,6,0,599.45,0,1,599.45,0,FALSE,TRUE,FALSE
14287,63,1,2,0,-25.4,0,1,-25.4,0,FALSE,TRUE,FALSE
17234,63,1,14,0,149.89,0,1,149.89,0,FALSE,TRUE,FALSE
14573,63,1,13,0,157.76,0,1,157.76,0,FALSE,TRUE,FALSE
16614,63,1,26,0,506.19,0,1,506.19,0,FALSE,TRUE,FALSE
16668,63,1,3,0,74.16,0,1,74.16,0,FALSE,TRUE,FALSE
16005,63,1,26,0,120.49,0,1,120.49,0,FALSE,TRUE,FALSE
15527,63,1,24,0,247.25,0,1,1101.79,0,FALSE,TRUE,FALSE
14178,63,1,29,0,197.37,0,1,823.44,0,FALSE,TRUE,FALSE
16184,63,1,10,0,299.67,0,1,472.66,0,FALSE,TRUE,FALSE
14077,63,1,8,0,110.79,0,1,110.79,0,FALSE,TRUE,FALSE
15098,63,1,5,0,649.5,0,1,649.5,0,FALSE,TRUE,FALSE
15491,62,1,1,0,-9.24,0,1,289.92,0,FALSE,TRUE,FALSE
14276,61,1,24,0,379.2,0,1,754.49,0,FALSE,TRUE,FALSE
14450,61,1,17,0,213.8,0,1,213.8,0,FALSE,TRUE,FALSE
18281,61,1,7,0,80.82,0,1,80.82,0,FALSE,TRUE,FALSE
14984,61,1,17,0,110.18,0,1,110.18,0,FALSE,TRUE,FALSE
13232,61,1,18,0,186.55,0,1,356.4,0,FALSE,TRUE,FALSE
14878,61,1,9,0,111.03,0,1,254.01,0,FALSE,TRUE,FALSE
16466,61,1,12,0,198.77,0,1,440.63,0,FALSE,TRUE,FALSE
16633,61,1,15,0,255.8,0,1,255.8,0,FALSE,TRUE,FALSE
17175,61,1,13,0,302.62,0,1,302.62,0,FALSE,TRUE,FALSE
16983,61,1,20,0,262.88,0,1,567.96,0,FALSE,TRUE,FALSE
13617,61,1,13,0,131.11,0,1,131.11,0,FALSE,TRUE,FALSE
16115,61,1,27,0,147.76,0,1,147.76,0,FALSE,TRUE,FALSE
17242,61,1,29,0,709.44,0,1,709.44,0,FALSE,TRUE,FALSE
14823,61,1,24,0,110.78,0,1,110.78,0,FALSE,TRUE,FALSE
17211,61,1,17,0,210.95,0,1,210.95,0,FALSE,TRUE,FALSE
17422,61,1,32,0,375.04,0,1,777.83,0,FALSE,TRUE,FALSE
16018,61,1,15,0,161.9,0,1,161.9,0,FALSE,TRUE,FALSE
14704,61,1,30,0,110.12,0,1,110.12,0,FALSE,TRUE,FALSE
15939,61,1,8,0,587.52,0,1,842.28,0,FALSE,TRUE,FALSE
15124,72,0,9,0,90.75,0,0,90.75,0,FALSE,TRUE,FALSE
15240,72,0,20,0,416.28,0,0,416.28,0,FALSE,TRUE,FALSE
17739,72,0,1,0,-5.3,0,0,783.84,0,FALSE,TRUE,FALSE
15916,72,0,9,0,113.35,0,0,467.08,0,FALSE,TRUE,FALSE
16969,72,0,27,0,397.36,0,0,397.36,0,FALSE,TRUE,FALSE
14597,72,0,3,0,165.1,0,0,165.1,0,FALSE,TRUE,FALSE
13917,72,0,5,0,65.38,0,0,65.38,0,FALSE,TRUE,FALSE
14515,72,0,14,0,340.25,0,0,923.67,0,FALSE,TRUE,FALSE
14377,72,0,7,0,302.45,0,0,302.45,0,FALSE,TRUE,FALSE
16424,72,0,5,0,133.56,0,0,133.56,0,FALSE,TRUE,FALSE
13475,72,0,7,0,153.3,0,0,153.3,0,FALSE,TRUE,FALSE
14800,72,0,30,0,198.46,0,0,194.69,0,FALSE,TRUE,FALSE
17682,72,0,1,0,-15,0,0,-15,0,FALSE,TRUE,FALSE
13062,72,0,11,0,346.98,0,0,346.98,0,FALSE,TRUE,FALSE
12987,72,0,2,0,-13.7,0,0,-13.7,0,FALSE,TRUE,FALSE
17820,72,0,2,0,-7.1,0,0,-7.1,0,FALSE,TRUE,FALSE
14740,72,0,4,0,-25,0,0,-25,0,FALSE,TRUE,FALSE
17621,72,0,1,0,-43.8,0,0,-43.8,0,FALSE,TRUE,FALSE
12909,72,0,1,0,-14.85,0,0,-14.85,0,FALSE,TRUE,FALSE
15611,72,0,3,0,100.6,0,0,93.44,0,FALSE,TRUE,FALSE
16359,72,0,1,0,-28.75,0,0,364.61,0,FALSE,TRUE,FALSE
18257,72,0,2,0,-13.2,0,0,519.18,0,FALSE,TRUE,FALSE
15140,72,0,1,0,-4.25,0,0,-4.25,0,FALSE,TRUE,FALSE
16496,72,0,2,0,-37.3,0,0,-37.3,0,FALSE,TRUE,FALSE
17162,66,0,19,0,337.72,0,0,589.52,0,FALSE,TRUE,FALSE
16484,70,0,19,0,260.8,0,0,260.8,0,FALSE,TRUE,FALSE
16449,71,0,3,0,-33,0,0,-33,0,FALSE,TRUE,FALSE
15622,71,0,1,0,-5.75,0,0,-5.75,0,FALSE,TRUE,FALSE
14323,71,0,1,0,-17.7,0,0,-17.7,0,FALSE,TRUE,FALSE
15918,71,0,18,0,192.23,0,0,192.23,0,FALSE,TRUE,FALSE
17578,71,0,1,0,-18.72,0,0,-18.72,0,FALSE,TRUE,FALSE
15184,71,0,20,0,235.23,0,0,406.76,0,FALSE,TRUE,FALSE
16566,71,0,1,0,-0.65,0,0,-0.65,0,FALSE,TRUE,FALSE
15841,71,0,1,0,-9.96,0,0,-14.96,0,FALSE,TRUE,FALSE
18135,71,0,10,0,109.82,0,0,558.26,0,FALSE,TRUE,FALSE
13308,71,0,3,0,-17.9,0,0,-17.9,0,FALSE,TRUE,FALSE
14453,71,0,22,0,119.93,0,0,119.93,0,FALSE,TRUE,FALSE
15791,71,0,1,0,-8.25,0,0,-8.25,0,FALSE,TRUE,FALSE
17900,71,0,6,0,112.2,0,0,112.2,0,FALSE,TRUE,FALSE
15658,71,0,1,0,7.5,0,0,7.5,0,FALSE,TRUE,FALSE
16529,70,0,30,0,455.25,0,0,455.25,0,FALSE,TRUE,FALSE
17375,70,0,2,0,-27.6,0,0,-27.6,0,FALSE,TRUE,FALSE
13294,70,0,22,0,390.09,0,0,390.09,0,FALSE,TRUE,FALSE
16239,70,0,15,0,347.9,0,0,347.9,0,FALSE,TRUE,FALSE
16230,70,0,16,0,266.1,0,0,266.1,0,FALSE,TRUE,FALSE
14500,70,0,5,0,284.85,0,0,305.85,0,FALSE,TRUE,FALSE
16117,70,0,30,0,232.21,0,0,232.21,0,FALSE,TRUE,FALSE
16593,70,0,20,0,185.9,0,0,185.9,0,FALSE,TRUE,FALSE
17722,70,0,19,0,357.3,0,0,680.46,0,FALSE,TRUE,FALSE
16967,70,0,21,0,319.02,0,0,319.02,0,FALSE,TRUE,FALSE
15737,67,0,19,0,187.85,0,0,187.85,0,FALSE,TRUE,FALSE
17068,70,0,15,0,312.75,0,0,678.9,0,FALSE,TRUE,FALSE
15405,70,0,8,0,349.1,0,0,349.1,0,FALSE,TRUE,FALSE
